,Date,Month,Team1Site,Team2Site,Team1,Team1_Win_Precentage,Final1,Open1,Close1,ML1,Team1_Conf,Team1_AP_Rank,Team1_W,Team1_L,Team1_OSRS,Team1_DSRS,Team1_SRS,Team1_ScoringOff,Team1_ScoringDef,Team1_PassingOff,Team1_PassingDef,Team1_RushingOff,Team1_RushingDef,Team1_TotalOff,Team1_TotalDef,Team2,Team2_Win_Precentage,Final2,Open2,Close2,ML2,Team2_Conf,Team2_AP_Rank,Team2_W,Team2_L,Team2_OSRS,Team2_DSRS,Team2_SRS,Team2_ScoringOff,Team2_ScoringDef,Team2_PassingOff,Team2_PassingDef,Team2_RushingOff,Team2_RushingDef,Team2_TotalOff,Team2_TotalDef,Team1_Win,Total_Open,Total_Close,Spread_Open,Spread_Close,Team1_Point_Dif,Team1Cover,Over_Under
22,9/04/2010,9,H,V,Missouri,0.7692307692307693,23,12.5,13.5,-509,Big 12 ,18.0,10.0,3.0,3.09,10.89,13.98,32.25,13.9,6.96,5.84,3.78,5.32,5.47,5.43,Illinois,0.5384615384615384,13,57.0,52.5,431,Big Ten,67.0,7.0,6.0,5.51,2.26,7.77,33.39,21.7,6.94,6.62,4.15,4.65,5.26,5.55,1,57.0,52.5,-12.5,-13.5,10,0,U
23,9/04/2010,9,H,V,ColoradoState,0.25,3,47.5,46.5,379,MWC,67.0,3.0,9.0,-8.99,-1.87,-10.86,17.45,33.64,6.98,8.41,2.38,6.24,4.77,6.84,Colorado,0.4166666666666667,24,13.5,11.5,-446,Big 12 ,67.0,5.0,7.0,1.42,-0.68,0.75,27.53,26.8,6.99,7.71,2.67,4.87,4.86,6.03,0,47.5,46.5,13.5,11.5,-21,0,U
24,9/04/2010,9,H,V,Vanderbilt,0.16666666666666666,21,46.5,41.0,143,SEC ,67.0,2.0,10.0,-10.4,0.82,-9.57,18.69,26.64,5.61,7.24,3.23,5.01,4.41,5.81,Northwestern,0.5384615384615384,23,3.0,3.5,-157,Big Ten,67.0,7.0,6.0,0.9,-2.34,-1.44,26.55,28.98,7.85,6.71,2.81,6.29,4.95,6.42,0,46.5,41.0,3.0,3.5,-2,1,O
25,9/04/2010,9,H,V,MississippiSt,0.6923076923076923,49,22.0,21.5,-1425,SEC ,15.0,9.0,4.0,0.13,8.98,9.11,30.03,14.39,8.49,5.95,3.92,3.91,5.58,4.95,Memphis,0.08333333333333333,7,55.0,47.5,1075,CUSA ,67.0,1.0,11.0,-13.88,-5.55,-19.43,13.09,38.73,7.0,9.37,1.96,5.19,4.37,6.89,1,55.0,47.5,-22.0,-21.5,42,1,O
26,9/04/2010,9,H,V,Rice,0.3333333333333333,17,63.0,56.0,4900,CUSA ,67.0,4.0,8.0,0.06,-11.14,-11.08,25.62,38.35,7.11,8.74,2.63,4.88,4.68,6.65,Texas,0.4166666666666667,34,32.5,31.5,-9100,Big 12 ,67.0,5.0,7.0,-2.82,4.53,1.71,25.17,20.28,6.46,6.08,3.19,4.46,4.94,4.84,0,63.0,56.0,32.5,31.5,-17,1,U
27,9/04/2010,9,H,V,NotreDame,0.6153846153846154,23,12.5,11.0,-427,Ind,67.0,8.0,5.0,3.15,7.2,10.35,30.65,16.22,6.98,5.69,3.42,4.38,5.34,5.11,Purdue,0.3333333333333333,12,51.5,54.0,363,Big Ten,67.0,4.0,8.0,-5.98,0.8,-5.18,19.78,26.49,5.09,6.76,3.41,4.42,4.22,5.47,1,51.5,54.0,-12.5,-11.0,11,0,U
28,9/04/2010,9,H,V,Michigan,0.5384615384615384,30,2.5,3.0,-157,Big Ten,67.0,7.0,6.0,9.12,-7.71,1.41,36.76,33.63,8.93,8.21,4.99,5.34,6.65,6.46,Connecticut,0.6153846153846154,10,54.0,51.5,143,Big East,67.0,8.0,5.0,0.12,1.52,1.63,28.39,23.59,5.59,6.69,3.99,4.94,4.82,5.72,1,54.0,51.5,-2.5,-3.0,20,1,U
29,9/04/2010,9,H,V,Louisville,0.5384615384615384,16,51.5,48.0,136,Big East,67.0,7.0,6.0,-2.23,4.94,2.71,27.19,20.05,6.75,6.48,4.29,5.02,5.49,5.48,Kentucky,0.46153846153846156,23,2.0,3.0,-150,SEC ,67.0,6.0,7.0,4.66,-2.78,1.88,33.55,27.13,7.8,6.94,4.07,5.22,6.0,5.83,0,51.5,48.0,2.0,3.0,-7,0,U
30,9/04/2010,9,H,V,Oregon,0.9230769230769231,72,35.0,36.0,-18125,Pac-10,3.0,12.0,1.0,13.04,8.5,21.54,51.13,14.36,8.43,5.29,5.28,4.28,6.68,4.71,NewMexico,0.08333333333333333,0,59.5,55.0,9375,MWC,67.0,1.0,11.0,-8.77,-9.0,-17.76,17.09,42.56,5.49,7.85,1.79,6.3,3.64,6.63,1,59.5,55.0,-35.0,-36.0,72,1,O
31,9/04/2010,9,H,V,KansasState,0.5384615384615384,31,46.5,1.0,-117,Big 12 ,67.0,7.0,6.0,8.07,-3.96,4.11,36.21,29.37,8.2,7.22,3.77,6.82,5.6,6.88,UCLA,0.3333333333333333,22,2.5,44.5,103,Pac-10,67.0,4.0,8.0,-2.55,3.18,0.62,26.24,22.33,5.9,6.44,3.75,5.75,4.82,5.84,1,46.5,44.5,-2.5,-1.0,9,1,O
32,9/04/2010,9,H,V,Akron,0.08333333333333333,3,43.0,42.5,284,MAC ,67.0,1.0,11.0,-12.16,-9.38,-21.54,12.95,39.92,4.91,9.47,2.42,5.7,3.71,7.15,Syracuse,0.6153846153846154,29,8.0,8.5,-326,Big East,67.0,8.0,5.0,-2.91,4.22,1.3,23.04,21.43,6.41,6.18,3.35,4.64,4.84,5.22,0,43.0,42.5,8.0,8.5,-26,0,U
33,9/04/2010,9,H,V,BYU,0.5384615384615384,23,3.5,56.0,106,MWC,67.0,7.0,6.0,-2.61,3.94,1.33,26.73,20.46,6.19,5.95,3.02,4.83,4.65,5.3,WashingtonU,0.5384615384615384,17,55.0,1.5,-120,Pac-10,67.0,7.0,6.0,2.45,3.11,5.55,30.41,22.93,7.46,6.6,4.2,5.17,5.79,5.57,1,55.0,56.0,3.5,1.5,6,1,U
34,9/04/2010,9,H,V,OklahomaState,0.8461538461538461,65,16.5,16.5,-633,Big 12 ,13.0,11.0,2.0,15.1,1.53,16.62,45.46,22.96,8.54,5.97,4.08,4.53,6.55,5.17,WashingtonState,0.16666666666666666,17,47.0,50.5,507,Pac-10,67.0,2.0,10.0,-2.04,-2.15,-4.2,25.98,28.86,8.16,7.79,2.2,6.06,5.14,6.57,1,47.0,50.5,-16.5,-16.5,48,1,O
35,9/04/2010,9,H,V,Alabama,0.7692307692307693,48,38.0,39.5,-43200,SEC ,10.0,10.0,3.0,4.12,14.19,18.31,39.34,9.36,9.79,5.37,4.6,3.96,6.93,4.53,SanJoseState,0.07692307692307693,3,53.0,51.0,20800,WAC,67.0,1.0,12.0,-8.71,-3.69,-12.4,16.64,32.12,7.19,7.5,1.77,6.15,4.8,6.54,1,53.0,51.0,-38.0,-39.5,45,1,P
36,9/04/2010,9,H,V,Oklahoma,0.8571428571428571,31,28.0,34.0,-18125,Big 12 ,6.0,12.0,2.0,10.21,6.91,17.11,41.43,17.63,8.09,5.79,2.6,4.73,5.52,5.18,UtahState,0.3333333333333333,24,57.5,56.5,9375,WAC,67.0,4.0,8.0,-3.18,-4.46,-7.64,22.4,31.67,6.92,6.89,2.67,6.29,4.53,6.28,1,57.5,56.5,-28.0,-34.0,7,0,U
37,9/04/2010,9,H,V,EasternMichigan,0.16666666666666666,27,43.0,42.0,304,MAC ,67.0,2.0,10.0,-7.24,-11.83,-19.07,18.15,47.42,6.54,9.38,3.04,7.38,4.49,8.03,Army,0.5384615384615384,31,10.0,9.5,-346,Ind,67.0,7.0,6.0,-0.68,-1.75,-2.43,24.18,27.07,7.16,7.79,3.33,5.4,4.34,6.36,0,43.0,42.0,10.0,9.5,-4,1,O
38,9/04/2010,9,H,V,TCU,1.0,30,14.5,13.5,-470,MWC,2.0,13.0,0.0,5.64,12.32,17.96,41.33,12.25,8.98,4.78,4.26,4.42,6.23,4.49,OregonState,0.4166666666666667,21,49.5,49.5,400,Pac-10,67.0,5.0,7.0,4.57,3.03,7.6,33.39,18.03,7.61,6.86,3.33,4.58,5.52,5.34,1,49.5,49.5,-14.5,-13.5,9,0,O
40,9/04/2010,9,H,V,FresnoState,0.6153846153846154,28,1.0,2.5,-137,WAC,67.0,8.0,5.0,2.72,-2.54,0.18,27.8,28.41,7.82,6.98,2.74,5.52,5.07,5.94,CincinnatiU,0.3333333333333333,14,57.5,57.0,123,Big East,67.0,4.0,8.0,1.2,-3.13,-1.93,30.94,28.16,7.44,7.72,4.18,4.73,5.91,5.89,1,57.5,57.0,-1.0,-2.5,14,1,U
41,9/04/2010,9,H,V,UNLV,0.15384615384615385,21,58.5,55.5,917,MWC,67.0,2.0,11.0,-6.25,-5.61,-11.86,21.27,36.37,6.73,8.3,2.02,6.18,4.24,6.68,Wisconsin,0.8461538461538461,41,18.0,20.5,-1233,Big Ten,7.0,11.0,2.0,9.19,4.83,14.02,42.36,19.25,9.48,6.41,4.63,5.04,6.39,5.58,0,58.5,55.5,18.0,20.5,-20,1,O
42,9/04/2010,9,H,V,Georgia,0.46153846153846156,55,24.0,29.0,-4163,SEC ,67.0,6.0,7.0,2.63,3.72,6.35,35.28,19.44,9.08,6.77,3.63,4.45,6.1,5.21,ULLafayette,0.25,7,55.0,53.0,2587,Sun Belt,67.0,3.0,9.0,-6.93,-9.98,-16.92,18.3,38.64,6.56,7.8,1.75,5.46,4.37,6.38,1,55.0,53.0,-24.0,-29.0,48,1,O
43,9/04/2010,9,H,V,Nebraska,0.7142857142857143,49,31.0,39.5,-32400,Big 12 ,20.0,10.0,4.0,4.04,8.81,12.85,32.54,15.5,7.77,5.64,4.43,5.07,5.82,5.04,WesternKentucky,0.16666666666666666,10,50.0,53.0,15600,Sun Belt,67.0,2.0,10.0,-7.0,-8.37,-15.37,19.23,36.18,5.59,7.47,3.02,6.25,4.25,6.57,1,50.0,53.0,-31.0,-39.5,39,0,O
44,9/04/2010,9,H,V,Clemson,0.46153846153846156,35,19.5,27.5,-3700,ACC ,67.0,6.0,7.0,0.21,7.14,7.35,28.11,16.33,6.62,6.26,3.61,4.05,5.03,4.98,NorthTexas,0.25,10,60.0,55.0,2300,Sun Belt,67.0,3.0,9.0,-6.78,-7.4,-14.18,18.96,33.16,6.14,7.96,3.71,6.09,4.89,6.73,1,60.0,55.0,-19.5,-27.5,25,0,U
45,9/04/2010,9,H,V,Troy,0.6153846153846154,30,13.0,14.5,-559,Sun Belt,67.0,8.0,5.0,2.19,-6.29,-4.1,29.37,34.0,7.03,7.7,3.15,5.8,5.31,6.51,BowlingGreen,0.16666666666666666,27,56.5,53.5,461,MAC ,67.0,2.0,10.0,-7.3,-9.46,-16.76,18.15,36.89,5.68,7.48,1.13,6.67,3.72,6.8,1,56.5,53.5,-13.0,-14.5,3,0,O
46,9/04/2010,9,H,V,Auburn,1.0,52,30.5,31.0,-11375,SEC ,1.0,14.0,0.0,16.15,4.52,20.66,46.36,18.58,10.6,6.13,5.84,3.94,7.52,5.19,ArkansasState,0.3333333333333333,26,54.0,52.5,6125,Sun Belt,67.0,4.0,8.0,0.56,-8.01,-7.45,26.43,33.67,6.77,8.13,3.01,5.54,5.01,6.39,1,54.0,52.5,-30.5,-31.0,26,0,O
74,9/05/2010,9,H,V,EastCarolina,0.46153846153846156,51,59.0,56.5,210,CUSA ,67.0,6.0,7.0,11.27,-15.75,-4.48,37.37,43.37,6.44,7.63,3.73,6.29,5.39,6.79,Tulsa,0.7692307692307693,49,7.0,7.0,-250,CUSA ,24.0,10.0,3.0,8.93,-3.97,4.95,36.33,30.0,7.71,8.33,4.16,5.23,5.89,6.65,1,59.0,56.5,7.0,7.0,2,1,O
75,9/05/2010,9,H,V,TexasTech,0.6153846153846154,35,13.0,13.0,-500,Big 12 ,67.0,8.0,5.0,5.87,-2.82,3.06,33.93,28.75,7.01,7.32,3.29,5.28,5.45,6.13,SMU,0.5,27,61.0,57.5,400,CUSA ,67.0,7.0,7.0,-3.05,1.01,-2.04,23.13,24.28,7.32,6.45,3.67,4.64,5.71,5.39,1,61.0,57.5,-13.0,-13.0,8,0,O
76,9/06/2010,9,H,V,Navy,0.6923076923076923,14,6.5,6.5,-240,Ind,67.0,9.0,4.0,1.01,2.47,3.49,27.87,22.74,10.0,6.89,4.32,5.69,5.73,6.16,Maryland,0.6923076923076923,17,46.5,49.5,200,ACC ,23.0,9.0,4.0,2.77,4.25,7.02,33.76,20.85,7.31,5.91,3.43,4.21,5.32,5.07,0,46.5,49.5,-6.5,-6.5,-3,0,U
77,9/06/2010,9,H,V,VirginiaTech,0.7857142857142857,30,49.5,1.0,105,ACC ,16.0,11.0,3.0,7.39,6.64,14.03,36.14,17.19,8.59,6.49,4.16,5.57,5.98,5.85,BoiseState,0.9230769230769231,33,2.5,53.0,-125,WAC,9.0,12.0,1.0,5.85,12.84,18.69,44.94,12.13,9.84,4.95,4.07,4.18,6.92,4.26,0,49.5,53.0,2.5,1.0,-3,0,O
78,9/09/2010,9,H,V,MississippiSt,0.6923076923076923,14,54.0,56.0,110,SEC ,15.0,9.0,4.0,0.13,8.98,9.11,30.03,14.39,8.49,5.95,3.92,3.91,5.58,4.95,Auburn,1.0,17,2.5,1.5,-130,SEC ,1.0,14.0,0.0,16.15,4.52,20.66,46.36,18.58,10.6,6.13,5.84,3.94,7.52,5.19,0,54.0,56.0,2.5,1.5,-3,0,U
79,9/09/2010,9,H,V,Temple,0.6666666666666666,13,8.0,7.5,-300,MAC ,67.0,8.0,4.0,-4.5,1.11,-3.39,21.97,25.49,7.02,6.82,3.09,5.25,4.84,5.78,CentralMichigan,0.25,10,49.0,47.0,250,MAC ,67.0,3.0,9.0,-5.37,-4.37,-9.74,20.99,29.23,6.69,6.86,1.73,5.79,4.51,6.24,1,49.0,47.0,-8.0,-7.5,3,0,U
80,9/10/2010,9,H,V,Marshall,0.4166666666666667,21,47.0,46.5,375,CUSA ,67.0,5.0,7.0,-6.5,-3.23,-9.73,18.66,30.41,6.11,6.66,2.48,5.05,4.48,5.77,WestVirginia,0.6923076923076923,24,13.0,12.0,-475,Big East,67.0,9.0,4.0,-0.85,10.36,9.51,27.52,13.9,7.42,6.06,3.42,3.78,5.23,4.81,0,47.0,46.5,13.0,12.0,-3,1,U
81,9/10/2010,9,H,V,HoustonU,0.4166666666666667,54,18.0,21.0,-1250,CUSA ,67.0,5.0,7.0,6.65,-8.76,-2.11,35.34,33.84,7.76,7.39,3.6,5.88,5.87,6.37,UTEP,0.46153846153846156,24,72.5,76.0,915,CUSA ,67.0,6.0,7.0,-4.82,-3.31,-8.13,20.2,30.55,6.28,7.0,3.16,6.22,4.84,6.38,1,72.5,76.0,-18.0,-21.0,30,1,O
82,9/11/2010,9,H,V,Kansas,0.25,28,49.5,51.0,444,Big 12 ,67.0,3.0,9.0,-8.02,-0.59,-8.61,18.1,31.9,5.65,7.9,2.33,5.8,3.91,6.5,GeorgiaTech,0.46153846153846156,25,7.0,14.0,-531,ACC ,67.0,6.0,7.0,0.55,0.24,0.8,27.54,24.55,6.61,7.08,4.68,5.52,5.46,6.1,1,49.5,51.0,7.0,14.0,3,1,O
83,9/11/2010,9,H,V,EastCarolina,0.46153846153846156,49,13.0,14.0,-485,CUSA ,67.0,6.0,7.0,11.27,-15.75,-4.48,37.37,43.37,6.44,7.63,3.73,6.29,5.39,6.79,Memphis,0.08333333333333333,27,56.0,56.5,415,CUSA ,67.0,1.0,11.0,-13.88,-5.55,-19.43,13.09,38.73,7.0,9.37,1.96,5.19,4.37,6.89,1,56.0,56.5,-13.0,-14.0,22,1,O
84,9/11/2010,9,H,V,SouthCarolina,0.6428571428571429,17,2.5,3.0,-147,SEC ,22.0,9.0,5.0,5.77,7.2,12.97,35.43,16.75,9.01,6.42,3.81,3.71,6.11,5.05,Georgia,0.46153846153846156,6,50.5,45.0,133,SEC ,67.0,6.0,7.0,2.63,3.72,6.35,35.28,19.44,9.08,6.77,3.63,4.45,6.1,5.21,1,50.5,45.0,-2.5,-3.0,11,1,U
85,9/11/2010,9,H,V,WakeForest,0.25,54,3.0,6.0,-205,ACC ,67.0,3.0,9.0,-0.88,-4.2,-5.07,27.59,33.34,5.96,6.97,3.62,5.4,4.64,6.11,Duke,0.25,48,49.5,53.0,180,ACC ,67.0,3.0,9.0,2.64,-7.23,-4.59,29.26,34.35,7.05,8.36,2.72,5.48,5.1,6.63,1,49.5,53.0,-3.0,-6.0,6,0,O
86,9/11/2010,9,H,V,Army,0.5384615384615384,28,3.0,3.0,-152,Ind,67.0,7.0,6.0,-0.68,-1.75,-2.43,24.18,27.07,7.16,7.79,3.33,5.4,4.34,6.36,Hawaii,0.7142857142857143,31,51.0,53.0,138,WAC,67.0,10.0,4.0,5.69,0.86,6.55,37.78,25.54,8.71,6.85,3.49,4.93,6.91,5.68,0,51.0,53.0,-3.0,-3.0,-3,0,O
87,9/11/2010,9,H,V,Wisconsin,0.8461538461538461,27,38.0,39.5,-27000,Big Ten,7.0,11.0,2.0,9.19,4.83,14.02,42.36,19.25,9.48,6.41,4.63,5.04,6.39,5.58,SanJoseState,0.07692307692307693,14,56.0,54.0,13000,WAC,67.0,1.0,12.0,-8.71,-3.69,-12.4,16.64,32.12,7.19,7.5,1.77,6.15,4.8,6.54,1,56.0,54.0,-38.0,-39.5,13,0,U
88,9/11/2010,9,H,V,Florida,0.6153846153846154,38,15.5,15.0,-568,SEC ,67.0,8.0,5.0,5.35,3.95,9.3,35.7,19.07,6.77,5.53,3.94,4.3,5.26,4.75,SouthFlorida,0.6153846153846154,14,51.0,50.5,467,Big East,67.0,8.0,5.0,-0.69,2.85,2.15,27.0,21.56,6.9,6.51,3.29,4.39,4.93,5.28,1,51.0,50.5,-15.5,-15.0,24,1,O
89,9/11/2010,9,H,V,Nebraska,0.7142857142857143,38,27.5,27.5,-4625,Big 12 ,20.0,10.0,4.0,4.04,8.81,12.85,32.54,15.5,7.77,5.64,4.43,5.07,5.82,5.04,Idaho,0.46153846153846156,17,53.5,53.5,2875,WAC,67.0,6.0,7.0,-1.41,-1.36,-2.77,24.89,28.93,6.91,6.72,1.66,6.32,4.84,6.3,1,53.5,53.5,-27.5,-27.5,21,0,O
90,9/11/2010,9,H,V,Vanderbilt,0.16666666666666666,3,44.0,46.0,342,SEC ,67.0,2.0,10.0,-10.4,0.82,-9.57,18.69,26.64,5.61,7.24,3.23,5.01,4.41,5.81,LSU,0.8461538461538461,27,9.5,10.5,-398,SEC ,8.0,11.0,2.0,6.33,8.8,15.13,34.77,14.81,7.33,5.65,4.22,4.42,5.46,4.82,0,44.0,46.0,9.5,10.5,-24,0,U
91,9/11/2010,9,H,V,Iowa,0.6153846153846154,35,13.5,13.5,-509,Big Ten,67.0,8.0,5.0,1.62,8.53,10.15,30.46,14.82,8.61,5.88,3.3,4.12,5.77,5.1,IowaState,0.4166666666666667,7,44.0,45.5,431,Big 12 ,67.0,5.0,7.0,-1.37,1.8,0.43,25.27,25.85,5.83,6.98,2.9,5.33,4.35,5.82,1,44.0,45.5,-13.5,-13.5,28,1,U
92,9/11/2010,9,H,V,California,0.4166666666666667,52,4.0,10.5,-389,Pac-10,67.0,5.0,7.0,-2.22,7.57,5.35,30.89,16.09,6.64,5.63,3.79,4.26,5.17,4.71,Colorado,0.4166666666666667,7,50.5,50.0,336,Big 12 ,67.0,5.0,7.0,1.42,-0.68,0.75,27.53,26.8,6.99,7.71,2.67,4.87,4.86,6.03,1,50.5,50.0,-4.0,-10.5,45,1,O
93,9/11/2010,9,H,V,Oklahoma,0.8571428571428571,47,10.0,6.5,-259,Big 12 ,6.0,12.0,2.0,10.21,6.91,17.11,41.43,17.63,8.09,5.79,2.6,4.73,5.52,5.18,FloridaState,0.7142857142857143,17,56.0,57.5,231,ACC ,17.0,10.0,4.0,6.93,7.27,14.2,36.82,16.63,8.03,6.49,4.42,4.38,6.07,5.28,1,56.0,57.5,-10.0,-6.5,30,1,O
94,9/11/2010,9,H,V,NotreDame,0.6153846153846154,24,6.0,3.5,-152,Ind,67.0,8.0,5.0,3.15,7.2,10.35,30.65,16.22,6.98,5.69,3.42,4.38,5.34,5.11,Michigan,0.5384615384615384,28,52.0,53.0,138,Big Ten,67.0,7.0,6.0,9.12,-7.71,1.41,36.76,33.63,8.93,8.21,4.99,5.34,6.65,6.46,0,52.0,53.0,-6.0,-3.5,-4,0,U
95,9/11/2010,9,H,V,MiamiOhio,0.7142857142857143,28,18.5,14.0,-559,MAC ,67.0,10.0,4.0,-6.14,0.27,-5.86,18.35,28.07,6.72,7.62,1.97,5.35,4.61,6.31,EasternMichigan,0.16666666666666666,21,53.0,51.5,461,MAC ,67.0,2.0,10.0,-7.24,-11.83,-19.07,18.15,47.42,6.54,9.38,3.04,7.38,4.49,8.03,1,53.0,51.5,-18.5,-14.0,7,0,U
96,9/11/2010,9,H,V,BostonCollege,0.5384615384615384,26,17.0,17.0,-827,ACC ,67.0,7.0,6.0,-4.98,7.12,2.15,21.35,17.4,6.55,5.85,2.99,3.57,4.59,4.79,KentState,0.4166666666666667,13,47.0,46.5,628,MAC ,67.0,5.0,7.0,-7.5,-1.32,-8.82,18.28,29.03,5.66,6.82,2.4,4.28,4.15,5.45,1,47.0,46.5,-17.0,-17.0,13,0,U
97,9/11/2010,9,H,V,OhioState,0.9230769230769231,36,10.0,8.5,-311,Big Ten,5.0,12.0,1.0,4.66,12.7,17.37,39.18,12.59,8.45,5.12,4.35,3.81,6.09,4.44,MiamiFlorida,0.5384615384615384,24,45.0,47.0,269,ACC ,67.0,7.0,6.0,2.12,6.14,8.26,31.46,18.03,7.45,5.73,4.32,4.86,5.84,5.01,1,45.0,47.0,-10.0,-8.5,12,1,O
98,9/11/2010,9,H,V,AirForce,0.6923076923076923,35,48.0,1.5,-122,MWC,67.0,9.0,4.0,4.05,2.82,6.87,31.06,21.31,9.23,5.64,4.23,5.98,5.62,5.73,BYU,0.5384615384615384,14,2.5,50.0,108,MWC,67.0,7.0,6.0,-2.61,3.94,1.33,26.73,20.46,6.19,5.95,3.02,4.83,4.65,5.3,1,48.0,50.0,-2.5,-1.5,21,1,U
